Sex,Age,Mature
M,26,Yes
M,23,Yes
M,26,Yes
M,24,Yes
M,18,Yes
F,22,Yes
F,24,Yes
M,23,Yes
M,19,Yes
M,19,Yes
M,21,Yes
M,18,No
F,17,No
M,16,Yes
M,23,Yes
M,34,Yes
F,27,Yes
M,19,Yes
M,22,Yes
M,35,Yes
M,22,Yes
F,30,Yes
F,16,No
M,41,Yes
M,26,Yes
M,27,Yes
F,28,Yes
M,16,No
F,21,No
F,17,No
M,22,Yes
M,13,No
F,14,No
F,11,No
F,10,No
F,15,No
F,19,No
F,10,No
F,19,No
M,15,No
F,24,No
M,15,No
M,13,No
F,19,No
F,18,No
M,11,No
F,9,No
M,21,Yes
F,24,No
M,20,No
F,10,No
F,14,No
M,15,No
M,12,No
F,14,No
F,17,No
F,10,No
M,15,No
M,20,Yes
F,14,No
F,16,No
M,10,No
F,15,No
M,16,No
M,23,No
F,14,No
M,16,No
M,26,No
F,16,No
F,22,Yes
M,25,Yes
M,20,No
F,14,No
F,15,No
F,17,No
M,8,No
M,53,Yes
F,13,No
M,15,No
M,10,No
F,22,Yes
M,19,Yes
F,11,No
M,12,No
M,14,No
M,39,Yes
M,26,Yes
M,27,Yes
M,13,No
M,8,No
F,19,Yes
M,24,Yes
F,16,No
M,17,No
M,13,No
M,18,No
M,17,No
F,20,No
F,14,No
M,14,No
F,28,Yes
M,31,Yes
M,31,Yes
M,18,Yes
M,23,Yes
M,34,Yes
M,23,Yes
M,24,Yes
M,19,Yes
M,23,Yes
F,17,No
M,16,No
M,33,Yes
M,19,Yes
M,28,Yes
M,25,Yes
M,21,Yes
M,18,Yes
F,18,No
F,17,No
F,17,No
F,17,No
F,18,No
M,21,Yes
M,17,Yes
M,16,Yes
M,16,Yes
F,18,No
F,23,No
F,13,No
F,11,No
F,10,No
F,14,No
M,9,No
M,12,No
F,8,No
M,7,No
M,8,No
M,7,No
F,7,No
F,6,No
F,5,No
F,6,No
M,6,No
M,5,No
M,6,No
M,5,No
F,6,No
M,8,No
M,8,No
M,5,No
F,6,No
F,6,No
M,6,No
M,5,No
M,6,No
M,6,No
M,7,No
F,7,No
F,6,No
M,6,No
F,6,No
M,9,No
F,8,No
M,6,No
F,6,No
F,5,No
M,5,No
M,6,No
F,7,No
F,9,No
F,8,No
F,6,No
F,16,No
M,14,No
F,6,No
F,20,No
F,7,No
M,5,No
F,6,No
F,21,No
M,10,No
M,18,No
F,18,No
F,51,Yes
M,12,No
M,13,No
M,19,No
F,17,No
F,16,No
F,7,No
F,10,No
M,15,No
F,28,Yes
F,50,Yes
F,11,No
M,9,No
M,7,No
F,52,Yes
